,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
10,3818,9467,2582,9467,1112,5202,3246,2325,3257,11114,0,1989,1985,1565,1401,835,1559,3291,1706,1989,4199,3591,1784,798,905,2994,1636,6363,1845,2647,2047,2958,2958,2035,2345,0,1859,1797,1797,1797,2522,2118,3309,2730,1435,1859,1797,2030,1060,3388,8875,4893,8038,9102,8534,8293,11536,7562,9208,8574,0,8038,9208,8161,8520,8287,8551,8938,8287,8137,8566,8799,8921,8921,8869,19744,9208,9208,8941,8111,9228,9259,8552,8595,8893,0,8637,9420,9380,9532,9208,8948,8038,7710,9380,3848,8279,8999,9208,16282,14075,9951,9333,13272,9722,16782,9594,13180,9665,9250,0,9508,10130,26992,10148,11532,12308,13269,12436,13969,9665,13671,12354,12274,11479,13496,11779,11744,11744,13234,9508,13064,11779,9661,12559,0,12314,9523,13076,12640,12314,13064,12820,12216,12216,12358,9665,12913,12314,11744,23336,24195,24563,24623,21851,2325,24195,23336,23424,25596,0,23434,23336,24658,23424,23336,23434,23424,2171,2171,14432,14043,14043,14043,12925,19744,1683,14820,15423,15352,14043,16864,13770,15105,15166,0,14534,14197,17772,11830,16922,18237,20556,19744,17772,18701,17772,15113,19926,16922,15719,14043,14334,13901,14043,17101,14534,18701,14247,14383,0,14383,13971,15113,15585,13050,12316,16525
11,2658,8310,1859,8310,1966,4400,4148,245,1816,11847,1886,0,2839,1516,2255,2108,2024,1851,400,0,3396,2150,2638,2791,2306,1553,520,5206,2699,1207,720,1830,1830,2889,1622,531,0,470,470,470,1799,129,1869,1569,653,531,470,41,1621,1948,9777,5746,8939,10003,9435,9195,12438,8416,10110,9476,9454,0,10110,9062,9422,9188,9453,9840,9188,9038,9467,9701,9822,9822,9770,20646,10110,10110,9842,9013,10129,10161,9454,9497,9795,9454,0,10322,10282,10433,10110,9849,8939,8612,10282,4749,9180,9901,10110,16307,14559,10684,10187,13756,10455,17515,10327,13664,10398,9983,10800,0,10863,27893,10881,12017,13041,13753,12920,14454,10398,14079,12839,12759,11963,13633,12263,12228,12228,13718,10240,13549,12263,10394,13043,13549,0,10256,13561,13124,12798,13549,13304,12701,12701,12843,10398,13397,12798,12228,24238,25096,25465,25525,21091,2915,25096,24238,24325,26497,24325,0,24238,25559,24325,24238,24335,24325,3025,3025,14917,14945,14945,14945,13826,20646,2537,15722,16325,16254,14945,17765,14672,16007,16067,15959,0,15099,18674,12731,17824,19139,21458,20646,18674,19603,18674,16015,20827,17824,16621,14945,15236,14803,14945,18003,15435,19603,15148,15285,15945,0,14873,16015,16487,13951,13218,17426
12,2941,9488,1698,9488,858,6313,2540,2346,4211,9412,1638,2591,0,1318,424,1216,1132,4245,2711,2591,5791,4545,809,2236,1414,3948,2213,6384,95,3518,3052,4224,4224,285,1462,2864,2864,0,2802,2802,1639,2462,4263,1834,2089,2864,2802,2550,1081,4342,7349,3191,6511,7575,7007,6767,10010,5860,7681,7047,7026,6511,0,6634,6993,6760,7024,7411,6760,6610,7039,7272,7394,7394,7342,18218,7681,7681,7414,6584,7701,7732,7026,7068,7366,7026,7111,0,7854,8005,7681,7421,6511,6184,7854,2465,6752,7473,7681,14581,12242,8250,7631,11439,8020,15080,7892,11346,7963,7549,8366,7806,0,25465,8446,9699,10606,11435,10602,12136,7963,11644,10521,10441,9645,11663,9945,9910,9910,11401,7806,11231,9945,7960,10726,11231,10480,0,11243,10806,10480,11231,10986,10383,10383,10525,7963,11079,10480,9910,21810,22668,23037,23096,20149,3031,22668,21810,21897,24069,21897,21907,0,23131,21897,21810,21907,21897,1195,1195,12599,12517,12517,12517,11398,18218,708,13294,13897,13825,12517,15337,12244,13579,13639,13531,13007,0,16246,10303,15395,16710,19030,18218,16246,17174,16246,13586,18399,15395,14193,12517,12807,12374,12517,15574,13007,17174,12720,12857,13517,12857,0,13586,14058,11523,10789,14998
13,2857,9357,1614,9357,450,6017,2632,1863,3504,10451,1014,2108,1323,0,739,592,508,3538,2087,2108,5013,3838,1122,1612,790,3241,2083,6254,1183,2894,2429,3517,3517,1373,1378,2240,2240,2178,0,2178,1555,1978,3556,1750,1817,2240,2178,2067,951,3635,8261,4230,7424,8487,7919,7679,10922,6900,8594,7960,7938,7424,8594,0,7906,7673,7937,8324,7673,7522,7952,8185,8306,8306,8254,19130,8594,8594,8326,7497,8613,8645,7938,7981,8279,7938,8023,8806,0,8918,8594,8334,7424,7096,8766,3233,7664,8385,8594,15620,13281,9289,8671,12478,9060,16120,8932,12386,9003,8588,9405,8845,9468,0,9486,10739,11646,12475,11642,13176,9003,12683,11560,11480,10685,12702,10985,10950,10950,12440,8845,12270,10985,8999,11765,12270,11520,8861,0,11846,11520,12270,12026,11422,11422,11564,9003,12119,11520,10950,22722,23580,23949,24009,21271,3344,23580,22722,22809,24981,22809,22819,22722,0,22809,22722,22819,22809,1509,1509,13639,13429,13429,13429,12310,19130,1021,14206,14809,14738,13429,16249,13156,14491,14551,14443,13919,13583,0,11215,16308,17623,19942,19130,17158,18087,17158,14499,19312,16308,15105,13429,13720,13287,13429,16487,13919,18087,13632,13769,14430,13769,13357,0,14971,12435,11702,15910
14,3289,9115,2046,9115,289,6097,2103,1973,3838,9760,1265,2218,621,1666,0,843,803,3872,2338,2218,5418,4172,594,1863,1041,3575,1841,6011,482,3145,2679,3851,3851,672,1810,2491,2491,2429,2429,0,1987,2089,3890,2182,1716,2491,2429,2177,708,3969,7697,3539,6859,7923,7355,7115,10358,6208,8029,7396,7374,6859,8029,6982,0,7108,7372,7759,7108,6958,7387,7621,7742,7742,7690,18566,8029,8029,7762,6932,8049,8080,7374,7416,7714,7374,7459,8242,8202,0,8029,7769,6859,6532,8202,2705,7100,7821,8029,14929,12590,8598,7979,11787,8368,15428,8240,11695,8311,7897,8714,8154,8777,25813,0,10047,10954,11783,10950,12484,8311,11992,10869,10789,9993,12011,10293,10258,10258,11749,8154,11579,10293,8308,11074,11579,10828,8169,11591,0,10828,11579,11335,10731,10731,10873,8311,11427,10828,10258,22158,23016,23385,23444,20497,2816,23016,22158,22245,24417,22245,22255,22158,23479,0,22158,22255,22245,980,980,12947,12865,12865,12865,11746,18566,493,13642,14245,14174,12865,15685,12592,13927,13987,13879,13355,13019,16594,0,15743,17059,19378,18566,16594,17523,16594,13934,18747,15743,14541,12865,13156,12722,12865,15922,13355,17523,13068,13205,13865,13205,12792,13934,0,11871,11137,15346
15,3422,9071,2184,9071,714,5730,2395,1929,3217,10594,728,2083,1462,1168,1004,0,708,3252,1801,2083,4726,3551,1230,1326,349,2954,1796,5967,1448,2607,2142,3230,3230,1530,1947,1953,1953,1892,1892,1892,0,2045,3269,2334,1530,1953,1892,2133,664,3349,8025,4373,7187,8251,7683,7443,10686,7042,8357,7723,7702,7187,8357,7310,7669,0,7700,8087,7436,7286,7715,7948,8070,8070,8018,18894,8357,8357,8090,7260,8377,8408,7702,7744,8042,7702,7787,8570,8530,8681,0,8097,7187,6860,8530,2997,7428,8149,8357,15763,13224,9432,7655,12421,9202,16263,9075,12329,9146,8731,9548,8988,9611,26141,9629,0,12872,12418,11585,13119,9146,12821,11504,11423,10628,12646,10928,10893,10893,12383,8988,12214,10928,9142,11708,12214,11463,9003,12226,11789,0,12214,11969,11365,11365,11507,9146,12062,11463,10893,22486,23344,23713,23772,21331,2853,23344,22486,22573,24745,22573,22583,22486,23807,22573,0,22583,22573,1272,1272,13582,13193,13193,13193,12074,18894,1128,13970,14573,14501,13193,16013,12920,14255,14315,14207,13683,13347,16922,10979,0,17386,19706,18894,16922,17850,16922,14262,19075,16071,14869,13193,13483,13050,13193,16250,13683,17850,13396,13533,14193,13533,13120,14262,14734,0,11465,15674
16,3134,8783,1891,8783,853,6089,2770,1641,3505,10380,931,1886,1251,875,1142,509,0,3540,2286,1886,5085,3839,1604,1529,707,3242,1508,5679,1112,3092,2605,3518,3518,1302,1655,2417,2417,2355,2355,2355,1832,0,3557,2045,1384,2417,2355,1845,376,3637,8399,4159,7562,8625,8058,7817,11060,6828,8732,8098,8076,7562,8732,7684,8044,7811,0,8462,7811,7661,8090,8323,8445,8445,8392,19268,8732,8732,8465,7635,8751,8783,8076,8119,8417,8076,8161,8944,8904,9056,8732,0,7562,7234,8904,3372,7803,8523,8732,15548,13118,9217,7549,12315,8988,16048,8860,12223,8931,8517,9333,8774,9396,26516,9414,10576,0,12312,11479,13013,8931,12715,11397,11317,10522,12539,10822,10787,10787,12277,8774,12108,10822,8928,11602,12108,11357,8789,12120,11683,11357,0,11863,11259,11259,11401,8931,11956,11357,10787,22860,23719,24087,24147,21567,3056,23719,22860,22948,25120,22948,22957,22860,24182,22948,22860,0,22948,1647,1647,13476,13567,13567,13567,12448,19268,1503,14344,14947,14876,13567,16388,13294,14629,14690,14581,14058,13721,17296,11353,16446,0,20080,19268,17296,18225,17296,14637,19450,16446,15243,13567,13858,13425,13567,16625,14058,18225,13771,13907,14568,13907,13495,14637,15109,12574,0,16049
17,3725,9535,3534,9535,3641,2663,5691,2136,651,13522,3337,1891,4514,3191,3930,3317,3699,0,1630,1891,1659,413,4525,2872,3388,812,2411,6431,4374,1435,1461,665,665,4564,3297,1272,1272,1334,1334,1334,3474,2020,0,3244,2544,1272,1334,1932,3543,210,10185,7421,10483,11547,10979,10739,12413,10091,11653,11019,10998,10483,11653,10606,10965,10732,10996,0,10732,10582,11011,11244,11366,11366,11314,22190,11653,11653,11386,10556,11673,11704,10998,11040,11338,10998,11082,11866,11826,10424,11653,11393,0,10155,11826,6293,10724,11445,11653,17982,16520,12359,10951,15717,12130,19190,12002,15625,12073,11658,12475,11916,12538,28764,12556,13978,14716,0,14881,16415,12073,15754,14799,14719,13924,15308,14224,14189,14189,15679,11916,15509,14224,12070,15004,15509,14759,11931,15521,15085,14759,15509,0,14661,14661,14803,12073,15358,14759,14189,25781,26640,27008,27068,22766,2996,26640,25781,25869,28041,25869,25879,25781,27103,25869,25781,25879,0,4568,4568,16878,16489,16489,16489,15370,22190,4424,17265,17868,17797,16489,19309,16215,17550,17611,17503,16979,16642,20218,14275,19367,20682,0,22190,20218,21146,20218,17558,22371,19367,18164,16489,16779,16346,16489,19546,16979,21146,16692,16829,17489,16829,16416,17558,18030,15495,14761,0
18,3394,9046,2595,9046,2380,4000,4513,981,1417,12583,1901,736,3252,2252,2669,2102,2827,1451,0,736,2997,1750,3052,2391,2173,1154,1256,5942,3113,807,765,1430,1430,3303,2358,576,576,515,515,515,2535,865,1469,0,1389,576,515,777,2328,1548,9704,6160,9305,10369,9801,9561,11932,8829,10475,9842,9820,9305,10475,9428,9787,9554,9819,10206,0,9404,9833,10067,10188,10188,10136,21012,10475,10475,10208,9378,10495,10526,9820,9862,10160,9820,9905,10688,10648,9943,10475,10215,9305,0,10648,5115,9546,10267,10475,17043,15342,11420,10600,14539,11191,18251,11063,14447,11134,10719,11536,10976,11599,30467,11617,12800,13777,14536,0,15237,11134,14815,13622,13542,12746,14369,13046,13011,13011,14501,10976,14332,13046,11130,13827,14332,13581,10992,14344,13907,13581,14332,14087,0,13484,13626,11134,14180,13581,13011,24604,25462,25831,25890,21827,2515,25462,24604,24691,26863,24691,24701,24604,25925,24691,24604,24701,24691,0,3438,15700,15311,15311,15311,14192,21012,2951,16088,16691,16620,15311,18131,15038,16373,16433,16325,15801,15465,19040,13097,18189,19505,21824,0,19040,19969,19040,16380,21193,18189,16987,15311,15602,15168,15311,18368,15801,19969,15514,15651,16311,15651,15239,16380,16852,14317,13584,17792
19,2658,8310,1859,8310,1966,4400,4148,245,1816,11847,1886,0,2839,1516,2255,2108,2024,1851,400,0,3396,2150,2638,2791,2306,1553,520,5206,2699,1207,720,1830,1830,2889,1622,531,531,470,470,470,1799,129,1869,1569,0,531,470,41,1621,1948,9777,5746,8939,10003,9435,9195,12438,8416,10110,9476,9454,8939,10110,9062,9422,9188,9453,9840,9188,0,9467,9701,9822,9822,9770,20646,10110,10110,9842,9013,10129,10161,9454,9497,9795,9454,9539,10322,10282,10433,10110,9849,8939,8612,0,4749,9180,9901,10110,16307,14559,10684,10187,13756,10455,17515,10327,13664,10398,9983,10800,10240,10863,27893,10881,12017,13041,13753,12920,0,10398,14079,12839,12759,11963,13633,12263,12228,12228,13718,10240,13549,12263,10394,13043,13549,12798,10256,13561,13124,12798,13549,13304,12701,0,12843,10398,13397,12798,12228,24238,25096,25465,25525,21091,2915,25096,24238,24325,26497,24325,24335,24238,25559,24325,24238,24335,24325,3025,0,14917,14945,14945,14945,13826,20646,2537,15722,16325,16254,14945,17765,14672,16007,16067,15959,15435,15099,18674,12731,17824,19139,21458,20646,0,19603,18674,16015,20827,17824,16621,14945,15236,14803,14945,18003,15435,19603,15148,15285,15945,15285,14873,16015,16487,13951,13218,17426
